"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Permission-Selective_Trust_Model_v3.1_paper.nlogo"
"H3-reappraisal-threshold-sweep-final"
"07/12/2026 21:17:10:737 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","REAPPRAISAL-CREDIBILITY","NUM-STRANGERS","REAPPRAISAL-VISIBILITY","DEVIATION-REWARD","SATURATION-THRESHOLD","[step]","reappraisal-count","reappraisal-elite-n","reappraisal-subculture-n","reappraisal-institutional-n","reappraisal-stranger-n","safe-mean-reappraisal-sim","safe-mean-deviator-sim"
"2","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5354831296099295"
"3","0.007","0","0.9","0.01","0.3","2500","67","0","0","67","0","0.298602226960436","0.5544488841177527"
"4","0.01","0","0.9","0.01","0.3","2500","210","0","0","210","0","0.3487130488559057","0.5433568614789035"
"1","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5486632809989758"
"6","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.55330112295979"
"5","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5407254548451744"
"7","0.007","0","0.9","0.01","0.3","2500","18","0","0","18","0","0.29999999999999993","0.5390532285001338"
"8","0.01","0","0.9","0.01","0.3","2500","78","0","0","78","0","0.3999999999999994","0.5533974870432552"
"9","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.541805886061015"
"10","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5400467017096885"
"11","0.007","0","0.9","0.01","0.3","2500","126","0","0","126","0","0.2843033509700178","0.5306351997837596"
"12","0.01","0","0.9","0.01","0.3","2500","49","0","0","49","0","0.3747813411078717","0.5382599465572823"
"14","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.545268870245128"
"13","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5492656214807413"
"15","0.007","0","0.9","0.01","0.3","2500","1","0","0","1","0","0.32","0.5400002768382843"
"16","0.01","0","0.9","0.01","0.3","2500","251","0","0","251","0","0.35213302633621396","0.5366517095054748"
"17","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5374176609148289"
"19","0.007","0","0.9","0.01","0.3","2500","82","0","0","82","0","0.2922172949002221","0.5457629324171772"
"18","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.55056118756679"
"20","0.01","0","0.9","0.01","0.3","2500","474","0","0","474","0","0.3774581255593919","0.550276141597406"
"21","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5449791401274738"
"22","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5603181418506931"
"23","0.007","0","0.9","0.01","0.3","2500","31","0","0","31","0","0.27972350230414744","0.5422368942179202"
"24","0.01","0","0.9","0.01","0.3","2500","376","0","0","376","0","0.3383088483620398","0.5402557301970354"
"25","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5506641437119505"
"26","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5552284582388495"
"27","0.007","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5389332949532019"
"28","0.01","0","0.9","0.01","0.3","2500","182","0","0","182","0","0.3361782661782657","0.5414171661519249"
"29","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5360305178387892"
"30","0.005","0","0.9","0.01","0.3","2500","18","0","0","18","0","0.22","0.5511855011550317"
"31","0.007","0","0.9","0.01","0.3","2500","79","0","0","79","0","0.27524613220815747","0.5257814311541543"
"32","0.01","0","0.9","0.01","0.3","2500","190","0","0","190","0","0.3218796992481202","0.5412306884275807"
"33","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5485830280707391"
"34","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5471861953966317"
"35","0.007","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5390355517879147"
"36","0.01","0","0.9","0.01","0.3","2500","135","0","0","135","0","0.3729218106995887","0.5428340313181305"
"38","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5587231555698295"
"37","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5476992618848259"
"39","0.007","0","0.9","0.01","0.3","2500","57","0","0","57","0","0.2865497076023395","0.5426960642550395"
"40","0.01","0","0.9","0.01","0.3","2500","291","0","0","291","0","0.3538067964872097","0.5470784897479338"
"42","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5337391541838656"
"41","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5508779867612567"
"43","0.007","0","0.9","0.01","0.3","2500","32","0","0","32","0","0.3200000000000001","0.540646568605362"
"44","0.01","0","0.9","0.01","0.3","2500","17","0","0","17","0","0.3802521008403361","0.5397940036107672"
"45","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5348093314225958"
"46","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5617902307587573"
"47","0.007","0","0.9","0.01","0.3","2500","21","0","0","21","0","0.28888888888888886","0.5392972675458025"
"48","0.01","0","0.9","0.01","0.3","2500","292","0","0","292","0","0.32149244400956795","0.5407887407891607"
"50","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5488619318107582"
"49","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5474580176111998"
"51","0.007","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5406690860240758"
"52","0.01","0","0.9","0.01","0.3","2500","229","0","41","188","0","0.34715186802523057","0.5496295596167765"
"54","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5459118292802596"
"53","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5347984859823819"
"55","0.007","0","0.9","0.01","0.3","2500","48","0","0","48","0","0.30000000000000027","0.5314629640470228"
"56","0.01","0","0.9","0.01","0.3","2500","100","0","0","100","0","0.3909090909090908","0.5382295787072564"
"57","0.003","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5565002576487993"
"58","0.005","0","0.9","0.01","0.3","2500","0","0","0","0","0","-1","0.5417408916681961"
"59","0.007","0","0.9","0.01","0.3","2500","26","0","0","26","0","0.2999999999999999","0.5368581858685129"
"60","0.01","0","0.9","0.01","0.3","2500","197","0","0","197","0","0.36394247038917066","0.5342646392317243"
